name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
Iglesia de Santolaya de Cabueñes,,,43.5230817,-5.6051098,,,false,false,ES
Iglesia de San Vicente,Barrio La Iglesia 122,Entrambasaguas,43.3765939,-3.6778866,,,false,false,ES
Parroquia de Santa Marta,,,39.4487472,-0.3668702,,,false,false,ES
Iglesia de la Purísima Concepción (Nuevo Gijón),,Gijón/Xixón,43.5271403,-5.6786173,,,false,false,ES
Capilla de Nuestra Señora de Los Llanos,Barrio Los Llanos,Navajeda,43.351751,-3.6774274,,,false,false,ES
Iglesia de San Juan,,,43.5265486,-5.6941741,,,false,false,ES
Ermita de San Martín,,,43.4321524,-3.6422261,,,false,false,ES
Capilla de San Juan,,,43.3852214,-3.7396613,,,false,false,ES
Església de la Nativitat,,,39.940403,-0.0619979,,,false,false,ES
Ermita de Sant Roc,,,38.3472225,-0.481764,,,false,false,ES
Parròquia de Sant Rafael Arcàngel,,,40.6072058,0.3487116,,,false,false,ES
Església de la Transfiguració del Senyor de les Useres,,,40.1570243,-0.1648641,,,false,false,ES
Iglesia parroquial de la Transfiguración de El Salvador,,,40.1319743,-0.4182071,,,false,false,ES
Parroquia de Nuestra Señora del Rosario,,,41.6606023,-0.8998618,,,false,false,ES
Iglesia del Pilar,,,40.9386447,-0.2317384,,,false,false,ES
Église de l'ancien couvent des Sœurs de Saint-Joseph,,,43.6134209,3.8689858,,,false,false,ES
Capela do Espírito Santo,,,40.2012976,-7.638366,,,false,false,ES
Santuário de Nossa Senhora das Dores,,,40.1956865,-7.6308694,,,false,false,ES
Convento de Semide,,,40.1575561,-8.3366822,,,false,false,ES
Iglesia de la Asunción,,,42.2863276,0.2148579,,,false,false,ES
Ermita de Santiago,,,42.2773379,0.2096065,,,false,false,ES
iglesia padres Salesianos,,,38.3518709,-0.5047343,,,false,false,ES
Església Parroquial de Sant Lluís Bertrán,,,39.4442072,-0.3663208,,,false,false,ES
iglesia Divina Pastora,,,38.3710664,-0.5040087,,,false,false,ES
Basílica de San Salvador,,,42.3854083,-1.798491,,,false,false,ES
Ermita de San Isidro,,,40.4431907,-4.0032249,,,false,false,ES
Capela de Santa Helena,,,39.1347889,-9.3819672,,,false,false,ES
Ermita de Sant Antoni,,,38.5225638,-0.2380601,,,false,false,ES
Iglesia Arciprestal de San José,,,39.4333004,-0.470448,,,false,false,ES
Parroquia de la Sagrada Familia,,,39.4334518,-0.4761678,,,false,false,ES
Parroquia de San Juan Bosco,,,39.4262205,-0.4762628,,,false,false,ES
Iglesia de Santa Fe,,,42.3368782,-1.6587216,,,false,false,ES
Església de Sant Joan Baptista,,,40.2765781,-0.2090461,,,false,false,ES
Ermita de l'Hortissella,,,40.2931648,-0.2135656,,,false,false,ES
Ermita de Sant Joan,,,40.1966274,-0.2026832,,,false,false,ES
Paroisse Saint-Joseph,,Castries,43.678221,3.9860136,,,false,false,ES
Iglesia de Nuestra SRA. de las Maravillas,,,36.7570344,-3.8430558,,,false,false,ES
Església Parroquial de Nostra Senyora de l'Assumpció,,,40.0756608,-0.2121818,,,false,false,ES
Parroquia Nuestra Señora del Carmen,,,40.4459638,-3.8027654,,,false,false,ES
Ermita de Nuestra Señora del Postergado,,,42.3081776,-1.8125313,,,false,false,ES
Ermita de Sant Sebastià,,,38.2671029,-0.6988335,,,false,false,ES
Ermita Sant Cristófol,,,39.6875574,-0.2862245,,,false,false,ES
Església Parroquial de Sant Agustí,,,39.762423,-0.354102,,,false,false,ES
Parroquia de Santa Teresa de Jesús,Calle Canónigo Molina Alonso 10,Almería,36.834809,-2.4606681,+34 950237383,,false,false,ES
Monestir de Sant Esperit,,,39.668137,-0.3491535,+34962620011,https://www.santoespiritu.org/,false,false,ES
